"decision","reason","flag","stage","year","title","venue","methods","tasks","cites","doi","doc_id"
"","","","design","2023","FuNToM: Functional Modeling of RF Circuits Using a Neural Network Assisted Two-Port Analysis Method","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","analog_circuit_design:rf circuit","0","10.1109/ICCAD57390.2023.10323890","2-s2.0-105047134027"
"","","","design","2023","Fully Automated Machine Learning Model Development for Analog Placement Quality Prediction","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","placement:placement","8","10.1145/3566097.3567881","2-s2.0-85148485031"
"","","","design","2023","Graph Neural Networks: A Powerful and Versatile Tool for Advancing Design, Reliability, and Security of ICs","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","deep_learning; graph_neural_networks","reliability_analysis:reliability","38","10.1145/3566097.3568345","2-s2.0-85148485729"
"","","","design","2023","Invited Paper: CircuitOps: An ML Infrastructure Enabling Generative AI for VLSI Circuit Optimization","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","analog_circuit_design:circuit optimization","25","10.1109/ICCAD57390.2023.10323611","2-s2.0-85181402730"
"","","","design","2023","Invited Paper: Verilog-to-PyG - A Framework for Graph Learning and Augmentation on RTL Designs","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","graph_neural_networks","logic_synthesis:rtl","10","10.1109/ICCAD57390.2023.10323741","2-s2.0-85181402399"
"","","","design","2023","MA-Opt: Reinforcement Learning-based Analog Circuit Optimization using Multi-Actors","Proceedings Design Automation and Test in Europe Date","general_ml_signals; reinforcement_learning","analog_circuit_design:analog circuit","7","10.23919/DATE56975.2023.10136894","2-s2.0-85162669748"
"","","","design","2023","Machine Learning-Based Adaptive Outlier Detection for Underkill Reduction in Analog/RF IC Testing","Proceedings of the IEEE VLSI Test Symposium","anomaly_detection; classical_ml; general_ml_signals","analog_circuit_design:rf ic; verification:ic test","3","10.1109/VTS56346.2023.10140005","2-s2.0-85161864002"
"","","","design","2023","Multi-Task Evolutionary to PVT Knowledge Transfer for Analog Integrated Circuit Optimization","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","evolutionary_optimization","analog_circuit_design:circuit optimization","21","10.1109/ICCAD57390.2023.10323899","2-s2.0-85181398431"
"","","","design","2023","Practical Layout-Aware Analog/Mixed-Signal Design Automation with Bayesian Neural Networks","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic; deep_learning","logic_synthesis:design automation","13","10.1109/ICCAD57390.2023.10323923","2-s2.0-85181399833"
"","","","design","2023","Reinforcement Learning-based Analog Circuit Optimizer using gm/IDfor Sizing","Proceedings Design Automation Conference","general_ml_signals; reinforcement_learning","analog_circuit_design:analog circuit","24","10.1109/DAC56929.2023.10247739","2-s2.0-85173102580"
"","","","design","2023","RoSE: Robust Analog Circuit Parameter Optimization with Sampling-Efficient Reinforcement Learning","Proceedings Design Automation Conference","reinforcement_learning","analog_circuit_design:analog circuit","26","10.1109/DAC56929.2023.10247991","2-s2.0-85173106441"
"","","","design","2024","A Data-Driven Analog Circuit Synthesizer with Automatic Topology Selection and Sizing","Proceedings Design Automation and Test in Europe Date","general_ml_signals","analog_circuit_design:analog circuit","21","10.23919/DATE58400.2024.10546840","2-s2.0-85188262480"
"","","","design","2024","A Deep-Learning-Based Statistical Timing Prediction Method for Sub-16nm Technologies","Proceedings Design Automation and Test in Europe Date","general_ml_signals","timing_analysis:timing prediction","4","10.23919/DATE58400.2024.10546837","2-s2.0-85196490266"
"","","","design","2024","A Transferable GNN-based Multi-Corner Performance Variability Modeling for Analog ICs","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","graph_neural_networks","analog_circuit_design:analog ic","4","10.1109/ASP-DAC58780.2024.10473858","2-s2.0-85189345999"
"","","","design","2024","AMBEATion: Analog Mixed-Signal Back-End Design Automation with Machine Learning and Artificial Intelligence Techniques","Proceedings Design Automation and Test in Europe Date","classical_ml","logic_synthesis:design automation","4","10.23919/DATE58400.2024.10546515","2-s2.0-85196557568"
"","","","design","2024","Asynchronous Batch Constrained Multi-Objective Bayesian Optimization for Analog Circuit Sizing","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","bayesian_probabilistic","analog_circuit_design:analog circuit","6","10.1109/ASP-DAC58780.2024.10473892","2-s2.0-85189368471"
"","","","design","2024","CDLS: Constraint Driven Generative AI Framework for Analog Layout Synthesis","Proceedings Design Automation Conference","llm_foundation_models","analog_circuit_design:analog layout","3","10.1145/3649329.3656232","2-s2.0-85211084211"
"","","","design","2024","ChatCPU: An Agile CPU Design and Verification Platform with LLM","Proceedings Design Automation Conference","llm_foundation_models","verification:verification","36","10.1145/3649329.3658493","2-s2.0-85211157166"
"","","","design","2024","Domain-Adapted LLMs for VLSI Design and Verification: A Case Study on Formal Verification","Proceedings of the IEEE VLSI Test Symposium","llm_foundation_models","verification:verification","20","10.1109/VTS60656.2024.10538589","2-s2.0-85195242389"
"","","","design","2024","EVDMARL: Efficient Value Decomposition-based Multi-Agent Reinforcement Learning with Domain-Randomization for Complex Analog Circuit Design Migration","Proceedings Design Automation Conference","reinforcement_learning","analog_circuit_design:analog circuit","4","10.1145/3649329.3656523","2-s2.0-85211086942"
"","","","design","2024","Fast IR-Drop Prediction of Analog Circuits Using Recurrent Synchronized GCN and Y-Net Model","Proceedings Design Automation and Test in Europe Date","graph_neural_networks","analog_circuit_design:analog circuit","0","10.23919/DATE58400.2024.10546845","2-s2.0-85196478898"
"","","","design","2024","FlexPlanner: Flexible 3D Floorplanning via Deep Reinforcement Learning in Hybrid Action Space with Multi-Modality Representation","Advances in Neural Information Processing Systems","reinforcement_learning","placement:floorplanning","5","","2-s2.0-105000464423"
"","","","design","2024","LLM vs HLS for RTL Code Generation: Friend or Foe?","Proceedings of the Asian Test Symposium","llm_foundation_models","logic_synthesis:hls","0","10.1109/ATS64447.2024.10915452","2-s2.0-105001145279"
"","","","design","2024","LLM-Based Processor Verification: A Case Study for Neuronnorphic Processor","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","verification:verification","23","10.23919/DATE58400.2024.10546707","2-s2.0-85196536669"
"","","","design","2024","LLMs for Hardware Verification: Frameworks, Techniques, and Future Directions","Proceedings of the Asian Test Symposium","llm_foundation_models","verification:verification","5","10.1109/ATS64447.2024.10915476","2-s2.0-105001138612"
"","","","design","2024","Late Breaking Results: Machine Learning Based Reference Ripple Error Suppression in Successive Approximation Register Analog-to-Digital Converters","Proceedings Design Automation Conference","classical_ml","analog_circuit_design:analog-to-digital","1","10.1145/3649329.3663493","2-s2.0-85211139539"
"","","","design","2024","Learning to Floorplan like Human Experts via Reinforcement Learning","Proceedings Design Automation and Test in Europe Date","reinforcement_learning","placement:floorplan","2","10.23919/DATE58400.2024.10546817","2-s2.0-85196495042"
"","","","design","2024","Machine Learning Unleashes Aging and Self-Heating Effects: From Transistors to Full Processor (Invited Paper)","IEEE International Reliability Physics Symposium Proceedings","classical_ml","reliability_analysis:aging","3","10.1109/IRPS48228.2024.10529386","2-s2.0-85194082745"
"","","","design","2024","Microprocessor Design Space Exploration via Space Partitioning and Bayesian Optimization","Proceedings Design Automation and Test in Europe Date","bayesian_probabilistic","design_space_exploration:design space exploration","1","10.23919/date58400.2024.10546502","2-s2.0-85204220382"
"","","","design","2024","Miracle: Multi-Action Reinforcement Learning-Based Chip Floorplanning Reasoner","Proceedings Design Automation and Test in Europe Date","general_ml_signals; reinforcement_learning","placement:floorplanning","3","10.23919/DATE58400.2024.10546767","2-s2.0-85196560456"
"","","","design","2024","PONO: Power Optimization with Near Optimal SMT-based Sub-circuit Generation","Proceedings Design Automation Conference","symbolic_reasoning","power_analysis:power optimization","0","10.1145/3649329.3655904","2-s2.0-85211114023"
"","","","design","2024","PPA-Relevant Clustering-Driven Placement for Large-Scale VLSI Designs","Proceedings Design Automation Conference","classical_ml","placement:placement","9","10.1145/3649329.3655991","2-s2.0-85199337516"
"","","","design","2024","SSRESF: Sensitivity-aware Single-particle Radiation Effects Simulation Framework in SoC Platforms based on SVM Algorithm","Proceedings Design Automation Conference","classical_ml","reliability_analysis:radiation effect","0","10.1145/3649329.3661935","2-s2.0-85211153235"
"","","","design","2024","TEACH: Outlier Oriented Testing of Analog/Mixed-Signal Circuits Using One-class Hyperdimensional Clustering","Proceedings International Test Conference","classical_ml","analog_circuit_design:mixed-signal circuit","2","10.1109/ITC51657.2024.00065","2-s2.0-85212942309"
"","","","design","2024","Toward End-to-End Analog Design Automation with ML and Data-Driven Approaches (Invited Paper)","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","general_ml_signals","logic_synthesis:design automation; analog_circuit_design:analog design","21","10.1109/ASP-DAC58780.2024.10473840","2-s2.0-85189367018"
"","","","design","2024","Using Probabilistic Model Rollouts to Boost the Sample Efficiency of Reinforcement Learning for Automated Analog Circuit Sizing","Proceedings Design Automation Conference","bayesian_probabilistic; reinforcement_learning","analog_circuit_design:analog circuit","7","10.1145/3649329.3657335","2-s2.0-85211116176"
"","","","design","2024","tSS-BO: Scalable Bayesian Optimization for Analog Circuit Sizing via Truncated Subspace Sampling","Proceedings Design Automation and Test in Europe Date","bayesian_probabilistic","analog_circuit_design:analog circuit","16","10.23919/DATE58400.2024.10546770","2-s2.0-85196516894"
"","","","design","2025","(Invited Paper) AnaFlow: Agentic LLM-based Workflow for Reasoning-Driven Explainable and Sample-Efficient Analog Circuit Sizing","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","analog_circuit_design:analog circuit","5","10.1109/ICCAD66269.2025.11240818","2-s2.0-105029411159"
"","","","design","2025","ADO-LLM: Analog Design Bayesian Optimization with In-Context Learning of Large Language Models","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic; llm_foundation_models","analog_circuit_design:analog design","19","10.1145/3676536.3676816","2-s2.0-105003637504"
"","","","design","2025","Accelerating design-technology co-development using neural compact modeling and data-driven SPICE simulation","Proceedings Design Automation Conference","general_ml_signals","calibration:compact model","0","10.1109/DAC63849.2025.11133177","2-s2.0-105017786594"
"","","","design","2025","AdreamDCO: AI-Driven Robust and Efficient Design Automation for Digitally Controlled Oscillators","Proceedings Design Automation Conference","general_ml_signals","logic_synthesis:design automation","3","10.1109/DAC63849.2025.11132798","2-s2.0-105017706480"
"","","","design","2025","Are LLMs Any Good for High-Level Synthesis?","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:high-level synthesis","4","10.1145/3676536.3699507","2-s2.0-105003644000"
"","","","design","2025","CIRCUIT REPRESENTATION LEARNING WITH MASKED GATE MODELING AND VERILOG-AIG ALIGNMENT","13th International Conference on Learning Representations Iclr 2025","deep_learning","logic_synthesis:verilog","10","","2-s2.0-105010264892"
"","","","design","2025","Confidence-Aware AI-Driven Full-Chain Simulation and Material-to-System Co-Optimization of Spin-CMOS Hybrid Circuits","Technical Digest International Electron Devices Meeting Iedm","general_ml_signals","design_space_exploration:co-optimization","0","10.1109/IEDM50572.2025.11353643","2-s2.0-105033525864"
"","","","design","2025","CorDBA: Corners Decoupled Bayesian Approach for yield optimization","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic","yield_prediction:yield optimization","0","10.1109/ICCAD66269.2025.11240641","2-s2.0-105029358820"
"","","","design","2025","Customized Retrieval Augmented Generation and Benchmarking for EDA Tool Documentation QA","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:eda","0","10.1145/3676536.3676730","2-s2.0-105003637794"
"","","","design","2025","DiffCkt: A Diffusion Model-Based Hybrid Neural Network Framework for Automatic Transistor-Level Generation of Analog Circuits","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","analog_circuit_design:analog circuit","3","10.1109/ICCAD66269.2025.11240784","2-s2.0-105029405910"
"","","","design","2025","Differentiable Timing-Driven FPGA Placement with Smooth Optimization and ML-Based Delay Calibration","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","general_ml_signals","placement:placement; timing_analysis:timing-driven; calibration:calibration","0","10.1109/ICCAD66269.2025.11240642","2-s2.0-105029388445"
"","","","design","2025","EDA-Aware RTL Generation with Large Language Models","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:rtl","5","10.23919/DATE64628.2025.10992789","2-s2.0-105006899638"
"","","","design","2025","Effective Analog ICs Floorplanning with Relational Graph Neural Networks and Reinforcement Learning","Proceedings Design Automation and Test in Europe Date","deep_learning; graph_neural_networks; reinforcement_learning","placement:floorplanning; analog_circuit_design:analog ic","2","10.23919/DATE64628.2025.10992888","2-s2.0-105006907371"
"","","","design","2025","Exploring Code Language Models for Automated HLS-based Hardware Generation: Benchmark, Infrastructure and Analysis","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","llm_foundation_models","logic_synthesis:hls","8","10.1145/3658617.3697616","2-s2.0-105000246020"
"","","","design","2025","FUSIS: Fusing Surrogate Models and Importance Sampling for Efficient Yield Estimation","Proceedings Design Automation and Test in Europe Date","bayesian_probabilistic","yield_prediction:yield estimation","0","10.23919/DATE64628.2025.10993100","2-s2.0-105006911237"
"","","","design","2025","FedEDA: Federated Learning Framework for Privacy-Preserving Machine Learning in EDA","Proceedings Design Automation Conference","classical_ml","logic_synthesis:eda","1","10.1109/DAC63849.2025.11132983","2-s2.0-105017559745"
"","","","design","2025","From Concept to Practice: an Automated LLM-aided UVM Machine for RTL Verification","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:rtl; verification:verification","3","10.1109/ICCAD66269.2025.11240679","2-s2.0-105029402990"
"","","","design","2025","GLOVA: Global and Local Variation-Aware Analog Circuit Design with Risk-Sensitive Reinforcement Learning","Proceedings Design Automation Conference","reinforcement_learning","analog_circuit_design:analog circuit","3","10.1109/DAC63849.2025.11132461","2-s2.0-105017619925"
"","","","design","2025","GNN-MLS: Signal Routing in Mixed-Node 3D ICs through GNN-Assisted Metal Layer Sharing","Proceedings Design Automation Conference","graph_neural_networks","routing:routing","3","10.1109/DAC63849.2025.11132697","2-s2.0-105017791137"
"","","","design","2025","Graph-Based Timing Prediction at Early-Stage RTL Using Large Language Model","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","llm_foundation_models","timing_analysis:timing prediction; logic_synthesis:rtl","2","10.1145/3658617.3697742","2-s2.0-105000426313"
"","","","design","2025","Graph-Guided Transfer Learning to Boost the Efficiency of System-Level Optimization of Analog/Mixed-Signal Circuits","Proceedings Design Automation Conference","transfer_learning","analog_circuit_design:mixed-signal circuit","0","10.1109/DAC63849.2025.11132596","2-s2.0-105017613211"
"","","","design","2025","HLSPilot: LLM-based High-Level Synthesis","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:high-level synthesis","4","10.1145/3676536.3676781","2-s2.0-105003635881"
"","","","design","2025","HLSTester: Efficient Testing of Behavioral Discrepancies with LLMs for High-Level Synthesis","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:high-level synthesis","2","10.1109/ICCAD66269.2025.11240891","2-s2.0-105029426930"
"","","","design","2025","IR-Fusion: A Fusion Framework for Static IR Drop Analysis Combining Numerical Solution and Machine Learning","Proceedings Design Automation and Test in Europe Date","classical_ml","power_analysis:ir drop","1","10.23919/DATE64628.2025.10992959","2-s2.0-105006897350"
"","","","design","2025","Improving LLM-Based Verilog Code Generation with Data Augmentation and RL","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:verilog","3","10.23919/DATE64628.2025.10992897","2-s2.0-105006932162"
"","","","design","2025","Invited Paper: LLM4HWDesign Contest: Constructing a Comprehensive Dataset for LLM-Assisted Hardware Code Generation with Community Efforts","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:code generation","0","10.1145/3676536.3689909","2-s2.0-105003623707"
"","","","design","2025","Invited Paper: Towards Generative AI for Analog and RF IC Design: From Spec to Layout","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","analog_circuit_design:rf ic","4","10.1109/ICCAD66269.2025.11240831","2-s2.0-105029342144"
"","","","design","2025","LEAP: Learning-guided Quality Cut Selection for Faster Technology Mapping","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","general_ml_signals","logic_synthesis:technology mapping","1","10.1145/3676536.3676797","2-s2.0-105003643166"
"","","","design","2025","LLSM: LLM-enhanced Logic Synthesis Model with EDA-guided CoT Prompting, Hybrid Embedding and AIG-tailored Acceleration","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","llm_foundation_models","logic_synthesis:logic synthesis","3","10.1145/3658617.3697618","2-s2.0-105000290091"
"","","","design","2025","Late Breaking Results: Breaking Symmetry - Unconventional Placement of Analog Circuits using Multi-Level Multi-Agent Reinforcement Learning","Proceedings Design Automation Conference","reinforcement_learning","placement:placement; analog_circuit_design:analog circuit","1","10.1109/DAC63849.2025.11132657","2-s2.0-105017728965"
"","","","design","2025","Late Breaking Results: Opera: An Open and Efficient Platform for Data-driven Synthesis of Analog Circuits","Proceedings Design Automation Conference","general_ml_signals","analog_circuit_design:analog circuit","1","10.1109/DAC63849.2025.11132555","2-s2.0-105017606425"
"","","","design","2025","Leveraging Machine Learning Techniques for Traditional EDA Workflow Enhancement","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","logic_synthesis:eda","2","10.1145/3658617.3703144","2-s2.0-105000323086"
"","","SURVEY?","design","2025","Look before You Leap: A Self-Review Bayesian Optimization Method for Constrained High-Dimensional Design Space Exploration","Proceedings Design Automation Conference","bayesian_probabilistic","design_space_exploration:design space exploration","0","10.1109/DAC63849.2025.11132771","2-s2.0-105017615025"
"","","","design","2025","ML-Based Fast and Accurate Performance Modeling and Prediction for High-Speed Memory Interfaces Across Different Technologies","Proceedings Design Automation and Test in Europe Date","general_ml_signals","calibration:performance modeling","0","10.23919/DATE64628.2025.10993055","2-s2.0-105006928561"
"","","","design","2025","MM-GRADE: A Multi-Modal EDA Tool Documentation QA Framework Leveraging Retrieval Augmented Generation","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:eda","0","10.1109/ICCAD66269.2025.11240857","2-s2.0-105029344087"
"","","","design","2025","Machine Learning Oriented Compact Model Platform for Technology Development and Circuit Design","Technical Digest International Electron Devices Meeting Iedm","classical_ml","calibration:compact model","0","10.1109/IEDM50572.2025.11353698","2-s2.0-105033531896"
"","","","design","2025","MetRex: A Benchmark for Verilog Code Metric Reasoning Using LLMs","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","llm_foundation_models","logic_synthesis:verilog","4","10.1145/3658617.3697625","2-s2.0-105000259093"
"","","","design","2025","Mixed-Size Placement Prototyping Based on Reinforcement Learning with Semi-Concurrent Optimization","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","reinforcement_learning","placement:placement","4","10.1145/3658617.3697730","2-s2.0-105000293601"
"","","","design","2025","NetTAG: A Multimodal RTL-and-Layout-Aligned Netlist Foundation Model via Text-Attributed Graph","Proceedings Design Automation Conference","llm_foundation_models","logic_synthesis:rtl","7","10.1109/DAC63849.2025.11133349","2-s2.0-105017760245"
"","","","design","2025","OpenLLM-RTL: Open Dataset and Benchmark for LLM-Aided Design RTL Generation","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:rtl","7","10.1145/3676536.3697118","2-s2.0-105003626444"
"","","","design","2025","PPAAS: PVT and Pareto Aware Analog Sizing via Goal-conditioned Reinforcement Learning","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","reinforcement_learning","design_space_exploration:pareto; analog_circuit_design:analog sizing","4","10.1109/ICCAD66269.2025.11240795","2-s2.0-105029350873"
"","","","design","2025","RSizing: Robust Bayesian Optimization for Analog Circuit Sizing Under Process Variations","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic","analog_circuit_design:analog circuit; process_optimization:process variation","0","10.1109/ICCAD66269.2025.11240990","2-s2.0-105029410936"
"","","","design","2025","Reinforcement Learning-Enhanced Cloud-Based Open Source Analog Circuit Generator for Standard and Cryogenic Temperatures in 130-nm and 180-nm OpenPDKs","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","reinforcement_learning","analog_circuit_design:analog circuit","1","10.1145/3676536.3676823","2-s2.0-105003641917"
"","","","design","2025","Revisit MBFF: Efficient Early-Stage Multi-bit Flip-Flops Clustering with Physical and Timing Awareness","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","reliability_analysis:bit flip","3","10.1145/3658617.3697725","2-s2.0-105000389222"
"","","","design","2025","Revisiting sensitivity-based analog sizing with derivative-aware Bayesian optimization and error-suppressed adjoint analysis","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic","analog_circuit_design:analog sizing","0","10.1145/3676536.3676736","2-s2.0-105003622504"
"","","","design","2025","SACPlace: Multi-Agent Deep Reinforcement Learning for Symmetry-Aware Analog Circuit Placement","Proceedings Design Automation and Test in Europe Date","reinforcement_learning","placement:placement; analog_circuit_design:analog circuit","2","10.23919/DATE64628.2025.10992846","2-s2.0-105006890242"
"","","","design","2025","SPRING: Systematic Profiling of Randomly Interconnected Neural Networks Generated by HLS","Proceedings of the IEEE VLSI Test Symposium","deep_learning","logic_synthesis:hls","1","10.1109/VTS65138.2025.11022878","2-s2.0-105008490006"
"","","","design","2025","SimEval: Investigating the Similarity Obstacle in LLM-based Hardware Code Generation","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","llm_foundation_models","logic_synthesis:code generation","9","10.1145/3658617.3697624","2-s2.0-105000324247"
"","","","design","2025","Steady-State Temperature Prediction Based on Compact Thermal Models Using Machine Learning","Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems Itherm","classical_ml","thermal_management:temperature prediction","1","10.1109/ITherm55376.2025.11235690","2-s2.0-105029440483"
"","","","design","2025","TSO-Flow: A Topology Synthesis and Optimization Workflow for Operational Amplifiers with Invertible Graph Generative Model","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","analog_circuit_design:operational amplifier","2","10.1145/3676536.3676693","2-s2.0-105003635728"
"","","","design","2025","VToT: Automatic Verilog Generation via LLMs with Tree of Thoughts Prompting","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:verilog","1","10.23919/DATE64628.2025.10993029","2-s2.0-105006897819"
"","","","design","2025","VeriOpt: PPA-Aware High-Quality Verilog Generation via Multi-Role LLMs","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","logic_synthesis:verilog","3","10.1109/ICCAD66269.2025.11240771","2-s2.0-105029351733"
"","","","design","2026","A Continuous-Time Analog Circuit for Gradient Descent Machine Learning and Inference","Proceedings of 3rd International Conference on Machine Learning and Autonomous Systems Icmlas 2026","classical_ml","analog_circuit_design:analog circuit","0","10.1109/ICMLAS67792.2026.11483662","2-s2.0-105038635713"
"","","","design","2026","ACEMARL: Adaptive Clustering Enhanced Multi-Agent Reinforcement Learning for Analog Circuit Sizing","Proceedings Design Automation and Test in Europe Date","classical_ml; reinforcement_learning","analog_circuit_design:analog circuit","0","10.23919/DATE69613.2026.11539706","2-s2.0-105041948367"
"","","","design","2026","AgenticTCAD: A LLM-based Multi-Agent Framework for Automated TCAD Code Generation and Device Optimization","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:code generation","0","10.23919/DATE69613.2026.11539536","2-s2.0-105041955379"
"","","","design","2026","Anchor-and-Adapt: HLS QoR Prediction using Ground-Truth Seeding and Few-Shot Fine-Tuning","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:hls","0","10.23919/DATE69613.2026.11539582","2-s2.0-105041997946"
"","","","design","2026","Bench4HLS: End-to-End Evaluation of LLMs in High-Level Synthesis Code Generation","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:high-level synthesis","0","10.23919/DATE69613.2026.11539716","2-s2.0-105041943175"
"","","","design","2026","Bridging the Power Estimation Gap: A GNN-Based Prediction Model for Approximate Logic Synthesis","Proceedings Design Automation and Test in Europe Date","general_ml_signals; graph_neural_networks","logic_synthesis:logic synthesis; power_analysis:power estimation","0","10.23919/DATE69613.2026.11539351","2-s2.0-105041945777"
"","","","design","2026","CHIP-MAP: A Collaborative Optimization Framework for Macro Placement Using Large Language Models","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","placement:placement","0","10.23919/DATE69613.2026.11539734","2-s2.0-105041970087"
"","","","design","2026","DAPO: Design Structure-Aware Pass Ordering for HLS via Contrastive and Reinforcement Learning","Proceedings Design Automation and Test in Europe Date","reinforcement_learning","logic_synthesis:hls","0","10.23919/DATE69613.2026.11539346","2-s2.0-105041940632"
"","","","design","2026","DUALPlace: Reinforcement Learning based Mixed-size Placement with Multi Modal Cross Attention","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","reinforcement_learning","placement:placement","0","10.1109/ASP-DAC66049.2026.11420511","2-s2.0-105041702123"
"","","","design","2026","Exploring Agentic LLM Paradigms for Hardware Verification across Abstraction Levels","Proceedings of the IEEE VLSI Test Symposium","llm_foundation_models","verification:verification","0","10.1109/VTS69484.2026.11563224","2-s2.0-105043135291"
"","","","design","2026","Focus Session: Stepping Stones Towards Domain Acceleration Using AI-Driven High-Level Synthesis Design","Proceedings Design Automation and Test in Europe Date","general_ml_signals","logic_synthesis:high-level synthesis","0","10.23919/DATE69613.2026.11539180","2-s2.0-105041988954"
"","","","design","2026","From Language to Logic: Bridging LLMs & Formal Representations for RTL Assertion Generation","Proceedings of the IEEE VLSI Test Symposium","llm_foundation_models","logic_synthesis:rtl; verification:assertion","0","10.1109/VTS69484.2026.11563398","2-s2.0-105043121277"
"","","","design","2026","GANGR: GAN-Assisted Scalable and Efficient Global Routing Parallelization","Proceedings Design Automation and Test in Europe Date","generative_adversarial","routing:routing","0","10.23919/DATE69613.2026.11539520","2-s2.0-105041958392"
"","","","design","2026","HouseTune: Two-Stage Floorplan Generation with LLM Assistance","Proceedings of the Aaai Conference on Artificial Intelligence","llm_foundation_models","placement:floorplan","1","10.1609/aaai.v40i16.38417","2-s2.0-105035023892"
"","","","design","2026","IABIST: An IJTAG-Compliant Machine Learning-Based Analog BIST Framework for SoC Verification","Proceedings of the IEEE VLSI Test Symposium","classical_ml; general_ml_signals","verification:verification","0","10.1109/VTS69484.2026.11563361","2-s2.0-105043092815"
"","","","design","2026","KCLNet: Electrically Equivalence-Oriented Graph Representation Learning for Analog Circuits","Proceedings of the Aaai Conference on Artificial Intelligence","deep_learning","analog_circuit_design:analog circuit","1","10.1609/aaai.v40i2.37109","2-s2.0-105034368229"
"","","","design","2026","Late Breaking Results: RL-Based Macro Placement with Cell Clustering and Rudy Modeling for Routability Optimization","Proceedings Design Automation and Test in Europe Date","classical_ml","placement:placement; routing:routability","0","10.23919/DATE69613.2026.11539110","2-s2.0-105041930377"
"","","","design","2026","MAEDA: An LLM-Powered Multi-Agent Evaluation Framework for EDA Tool Documentation QA","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","logic_synthesis:eda","0","10.23919/DATE69613.2026.11539506","2-s2.0-105041926380"
